,,"COSMIC GROUP - GUNPLA",,,
,,,,,
"SITUAZIONE AGGIORNATA AL 25/07/2011",,,,,
,,,,,
"CODICE COSMIC ","IMMAGINE","ARTICOLO","JAN CODE","DATA PRESUNTA DI ARRIVO","PREZZO SUGGERITO AL PUBBLICO"
,,,,,
"17939","Clicca qui"," HG GUNDAM AVALANCHE EXIA DASH","0163278","DISPONIBILE","€ 24,00"
"17617","Clicca qui"," 1/100 GUNDAM EXIA","0152227","DISPONIBILE","€ 27,60"
"17606","Clicca qui"," 1/100 GUNDAM DYNAMES","0152244","DISPONIBILE","€ 27,60"
"17592","Clicca qui"," 1/100 GUNDAM KYRIOS","0152368","DISPONIBILE","€ 31,20"
"17176","Clicca qui"," 1/100 ARIOS GUNDAM","0157735","DISPONIBILE","€ 31,20"
"16737","Clicca qui"," HG 1/144 SUPER CUSTOM ZAKU F2000","0165393","DISPONIBILE","€ 26,40"
"15641","Clicca qui"," HG 1/144 BEGINNING 30 GUNDAM","0167073","DISPONIBILE","€ 26,40"
"25516","Clicca qui"," 1/144 HGUC HYAKU-SHIKI","0074438","DISPONIBILE","€ 18,00"
"25131","Clicca qui"," 1/144 HGUC RX-78GP03S GUNDAM","0107016","DISPONIBILE","€ 19,20"
"24797","Clicca qui"," 1/144 HGUC RGM-79 POWERED GM","0145073","DISPONIBILE","€ 14,40"
"24634","Clicca qui"," 1/144 HGUC NU GUNDAM","0153143","DISPONIBILE","€ 30,00"
"24610","Clicca qui"," 1/144 HGUC SAZABI","0154499","DISPONIBILE","€ 33,60"
"24603","Clicca qui"," 1/144 HGUC HI-NU GUNDAM","0158762","DISPONIBILE","€ 26,40"
"24556","Clicca qui"," 1/144 HGUC JEGAN","0159935","DISPONIBILE","€ 18,00"
"24299","Clicca qui"," 1/144 HGUC RX-0 UNICORN GUNDAM(DESTROY MODE)","0161011","DISPONIBILE","€ 21,60"
"24288","Clicca qui"," 1/144 HGUC RX-0 UNICORN GUNDAM(UNICORN MODE)","0161012","DISPONIBILE","€ 18,00"
"24225","Clicca qui"," 1/144 HGUC F2-ZAKU (ZEON TYPE)","0162025","DISPONIBILE","€ 18,00"
"23945","Clicca qui"," 1/144 HGUC F2-ZAKU (EARTH FEDERATION TYPE)","0162048","DISPONIBILE","€ 18,00"
"23917","Clicca qui"," 1/144 HGUC GM TYPE C","0164563","DISPONIBILE","€ 14,40"
"23907","Clicca qui"," 1/144 HGUC δ(DELTA) PLUS","0164265","DISPONIBILE","€ 26,40"
"23848","Clicca qui"," 1/144 HGUC SINANJU","0165297","DISPONIBILE","€ 31,20"
"23714","Clicca qui"," 1/144 HGUC NOBLE GUNDAM","0165660","DISPONIBILE","€ 18,00"
"23415","Clicca qui"," 1/144 HGUC GM CUSTOM","0166784","DISPONIBILE","€ 15,60"
"23356","Clicca qui"," 1/144 HGUC GUNPLA START SET","0164268","DISPONIBILE","€ 24,00"
"16982","Clicca qui"," 1/550 RX-78GP03 DENDROBIUM","0103908","DISPONIBILE","€ 18,00"
"23337","Clicca qui"," MG 1/100 AMX-004 QUBELLEY","0104021","DISPONIBILE","€ 48,00"
"23321","Clicca qui"," MG 1/100 RX-77-2 GUNCANNON","0107017","DISPONIBILE","€ 36,00"
"23278","Clicca qui"," MG 1/100 AILE STRIKE GUNDAM","0122242","DISPONIBILE","€ 45,60"
"23184","Clicca qui"," MG 1/100 MSM-07 Z'GOK(CHAR'S CUSTOM)","0122718","DISPONIBILE","€ 36,00"
"23084","Clicca qui"," MG 1/100 W GUNDAM ZERO CUSTOM","0129454","DISPONIBILE","€ 45,60"
"23002","Clicca qui"," MG 1/100 BALL ver.Ka","0131412","DISPONIBILE","€ 24,00"
"22758","Clicca qui"," MG 1/100 ZETA GUNDAM VER.2.0","0139597","DISPONIBILE","€ 60,00"
"22730","Clicca qui"," MG STRIKE FREEDOM GUNDAM","0148083","DISPONIBILE","€ 57,60"
"19678","Clicca qui"," MG HI NU GUNDAM","0148832","DISPONIBILE","€ 84,00"
"22593","Clicca qui"," MG MS-06S CHAR'S ZAKU ver. 2.0","0149834","DISPONIBILE","€ 42,00"
"22480","Clicca qui"," MG DESTINY GUNDAM","0151243","DISPONIBILE","€ 57,60"
"22385","Clicca qui"," MG MS06R ZAKU BLACK TRI-STARS Ver. 2.0","0152373","DISPONIBILE","€ 54,00"
"22329","Clicca qui"," MG SHIN MUSHA GUNDAM","0153804","DISPONIBILE","€ 60,00"
"22064","Clicca qui"," ＭＧ GUNDAM RX-78-2 ver.2.0","0155520","DISPONIBILE","€ 50,40"
"21890","Clicca qui"," MG MS-06R-2 J RIDDEN ZAKU Ver.2.0 ","0156535","DISPONIBILE","€ 54,00"
"21737","Clicca qui"," ＭＧ INFINITE JUSTICE GUNDAM","0156649","DISPONIBILE","€ 60,00"
"21727","Clicca qui"," MG SHIN MATSUNAGA ZAKU Ver. 2.0","0156655","DISPONIBILE","€ 54,00"
"21680","Clicca qui"," MG SINANJU","0156877","DISPONIBILE","€ 84,00"
"21335","Clicca qui"," MG GOUF Ver.2.0","0158756","DISPONIBILE","€ 45,60"
"21143","Clicca qui"," MG GUNDAM EXIA ","0159452","DISPONIBILE","€ 45,60"
"20797","Clicca qui"," MG 1/100 V GUNDAM Ver.Ka","0161539","DISPONIBILE","€ 45,60"
"20702","Clicca qui"," MG 1/100 GN-X","0161417","DISPONIBILE","€ 43,20"
"20701","Clicca qui"," MG 1/100 GUNDAM EXIA (TRANS-AM  MODE)","0161570","DISPONIBILE","€ 69,60"
"20345","Clicca qui"," MG 1/100 UNICORN GUNDAM SCREEN IMAGE ","0162053","DISPONIBILE","€ 60,00"
"20277","Clicca qui"," MG 1/100 WING GUNDAM","0162352","DISPONIBILE","€ 48,00"
"19514","Clicca qui"," MG 1/100 OO QAN[T]","0165654","DISPONIBILE","€ 54,00"
"20069","Clicca qui"," MG SHINMUSHA GUNDAM ""SENGOKU NO JIN""","0158211","DISPONIBILE","€ 96,00"
"19594","Clicca qui"," MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL","0162052","DISPONIBILE","€ 90,00"
"716","Clicca qui"," RG 1/144 RX-78-2 GUNDAM","0163280","DISPONIBILE","€ 30,00"
"719","Clicca qui"," RG 1/144 AILE STRIKE GUNDAM","0169492","DISPONIBILE","€ 30,00"
"19976","Clicca qui"," UCHG ZEON CYCLOPS TEAM SET","0151919","DISPONIBILE","€ 33,60"
