,,,,,,
,,,,"NOME NEGOZIO",,
,,,,,,
"CODICE","IMMAGINE","QUANTITA'","JAN CODE","DESCRIZIONE ","PREZZO ","PREZZO"
"COSMIC",,"ORDINE",,,"REGOLARE","SUGGERITO"
,,,,"OO",,
16875,"Clicca qui",,"0161536"," HG 1/144 SERAVEE GUNDAM (TRANS-AM MODE) GROSS INJECTION Ver. ","€ 14,40","€ 28,80"
16850,"Clicca qui",,"0161565"," HG 1/144 SUSANO (TRANS-AM MODE) GROSS INJECTION Ver. ","€ 9,00","€ 18,00"
16790,"Clicca qui",,"0161566"," HG 1/144 REBORNS GUNDAM (TRANS-AM MODE) GROSS INJECTION Ver. ","€ 10,80","€ 21,60"
19688,"Clicca qui",,"0161935"," HG 1/144 OO GUNDAM SEVEN SWORD/G","€ 9,60","€ 19,20"
25837,"Clicca qui",,"0162363"," HG 1/144 ASTRAEA TYPE F","€ 10,80","€ 21,60"
15919,"Clicca qui",,"0163277"," HG 1/144 1.5GUNDAM","€ 10,80","€ 21,60"
17939,"Clicca qui",,"0163278"," HG 1/144 GUNDAM AVALANCHE EXIA DASH","€ 12,00","€ 24,00"
25665,"Clicca qui",,"0164249"," HG 1/144 GUNDAM ASTRAEA","€ 9,60","€ 19,20"
26951,"Clicca qui",,"0164561"," HG 1/144 OO QAN[T]","€ 9,60","€ 19,20"
26950,"Clicca qui",,"0164562"," HG 1/144 GUNDAM ZABANYA","€ 10,80","€ 21,60"
15328,"Clicca qui",,"0164576"," HG 1/144 GUNDAM HARUTE","€ 10,80","€ 21,60"
18506,"Clicca qui",,"0164565"," HG 1/144 RAPHAEL GUNDAM","€ 12,00","€ 24,00"
25645,"Clicca qui",,"0165300"," HG 1/144 OO RAISER GN CONDENSER TYPE","€ 12,00","€ 24,00"
26908,"Clicca qui",,"0165507"," HG 1/144 BRAVE (COMMANDER TEST TYPE)","€ 9,60","€ 19,20"
14583,"Clicca qui",,"0165508"," HG 1/144 BRAVE (STANDARD TEST TYPE)","€ 9,60","€ 19,20"
17617,"Clicca qui",,"0152227"," 1/100 GUNDAM EXIA","€ 13,80","€ 27,60"
17606,"Clicca qui",,"0152244"," 1/100 GUNDAM DYNAMES","€ 13,80","€ 27,60"
17592,"Clicca qui",,"0152368"," 1/100 GUNDAM KYRIOS","€ 15,60","€ 31,20"
17432,"Clicca qui",,"0153123"," 1/100 GUNDAM VIRTUE","€ 24,00","€ 48,00"
16959,"Clicca qui",,"0153805"," 1/100 GUNDAM ASTRAEA","€ 16,80","€ 33,60"
16964,"Clicca qui",,"0154505"," 1/100 OVER FLAG","€ 13,20","€ 26,40"
16983,"Clicca qui",,"0154501"," 1/100 TIEREN (LAND)","€ 16,80","€ 33,60"
16988,"Clicca qui",,"0154481"," 1/100 ASTRAEA TYPE-F","€ 16,80","€ 33,60"
17008,"Clicca qui",,"0154600"," 1/100 AVALANCHE EXIA","€ 19,20","€ 38,40"
17519,"Clicca qui",,"0156906"," 1/100 OO GUNDAM","€ 16,80","€ 33,60"
17422,"Clicca qui",,"0156888"," 1/100 O-RAISER","€ 9,60","€ 19,20"
17040,"Clicca qui",,"0156889"," 1/100 OO GUNDAM + O-RAISER","€ 30,00","€ 60,00"
17192,"Clicca qui",,"0157467"," 1/100 CHERUDIM ","€ 15,60","€ 31,20"
17176,"Clicca qui",,"0157735"," 1/100 ARIOS GUNDAM","€ 15,60","€ 31,20"
17135,"Clicca qui",,"0158433"," 1/100 SERAVEE GUNDAM","€ 21,60","€ 43,20"
17630,"Clicca qui",,"0152158"," 1/60 GUNDAM EXIA","€ 27,00","€ 54,00"
,,,,"HGUC",,
25604,"Clicca qui",,"0072918"," 1/144 HGUC GUNCANNON","€ 4,80","€ 9,60"
37890,"Clicca qui",,"0070967"," 1/144 HGUC GYAN","€ 4,80","€ 9,60"
37827,"Clicca qui",,"0073329"," 1/144 HGUC ZAKU?","€ 9,00","€ 18,00"
25531,"Clicca qui",,"0073326"," 1/144 HGUC QUBELEY","€ 9,00","€ 18,00"
25516,"Clicca qui",,"0074438"," 1/144 HGUC HYAKU-SHIKI","€ 9,00","€ 18,00"
37826,"Clicca qui",,"0071693"," 1/144 HGUC Z'GOCK","€ 4,20","€ 8,40"
19714,"Clicca qui",,"0075486"," 1/144 HGUC GUNTANK","€ 4,80","€ 9,60"
37568,"Clicca qui",,"0075573"," 1/144 HGUC GOGG","€ 4,80","€ 9,60"
17093,"Clicca qui",,"0075894"," 1/144 HGUC GOUF","€ 4,80","€ 9,60"
37480,"Clicca qui",,"0076370"," 1/144 HGUC QUBELEY Mk-? ","€ 9,00","€ 18,00"
19716,"Clicca qui",,"0077165"," 1/144 HGUC RX-78 GP01 ZEPHYRANTHES","€ 7,20","€ 14,40"
37433,"Clicca qui",,"0077166"," 1/144 HGUC AMX-011 ZAKU?","€ 9,00","€ 18,00"
37793,"Clicca qui",,"0077626"," 1/144 HGUC AMX-107 BAWOO","€ 7,20","€ 14,40"
19616,"Clicca qui",,"0077635"," 1/144 HGUC GELGOOG MARINE","€ 7,20","€ 14,40"
19601,"Clicca qui",,"0078209"," 1/144 HGUC DOM TROPEN","€ 9,00","€ 18,00"
19568,"Clicca qui",,"0078213"," 1/144 HGUC RX-78 GP01Fb","€ 9,00","€ 18,00"
25386,"Clicca qui",,"0100568"," 1/144 HGUC MSM-07S Z'GOCK(CHAR'S CUSTOM)","€ 4,20","€ 8,40"
25298,"Clicca qui",,"0101787"," 1/144 HGUC RGM-79 GM","€ 4,20","€ 8,40"
25293,"Clicca qui",,"0102407"," 1/144 HGUC RX-78-2 GUNDAM","€ 6,00","€ 12,00"
25131,"Clicca qui",,"0107016"," 1/144 HGUC RX-78GP03S GUNDAM","€ 9,60","€ 19,20"
19566,"Clicca qui",,"0107720"," 1/144 HGUC MS-14FS GELGOOGMARINE CIMAGARAHAU CUSTOM","€ 9,00","€ 18,00"
19565,"Clicca qui",,"0107723"," 1/144 HGUC MS-09F DOMTROPEN","€ 9,60","€ 19,20"
19414,"Clicca qui",,"0107985"," 1/144 HGUC RX-78 GP-03 DENDROBIUM","€ 168,00","€ 336,00"
19702,"Clicca qui",,"0112814"," 1/144 HGUC MS-06S ZAKU?","€ 6,00","€ 12,00"
37251,"Clicca qui",,"0113551"," 1/144 HGUC GARMA'S ZAKU","€ 6,00","€ 12,00"
19326,"Clicca qui",,"0114213"," 1/144 HGUC PMX-003 THE. O","€ 14,40","€ 28,80"
18352,"Clicca qui",,"0119251"," 1/144 HGUC HI-GOGG","€ 7,20","€ 14,40"
37238,"Clicca qui",,"0120465"," 1/144 HGUC RGM-79D GM COLD DISTRICT TYPE","€ 4,80","€ 9,60"
19313,"Clicca qui",,"0120464"," 1/144 HGUC MSM-07E Z'GOCK E","€ 7,20","€ 14,40"
24967,"Clicca qui",,"0122240"," 1/144 HGUC ZAKU? MASS PRODUCTION TYPE","€ 6,00","€ 12,00"
