Item Code, Item Name, HS Code, Origin Country, Qty Shipped, Price, Extended Price
SGC58921, Doll Collection Neko-Bus                                                                                                                                                                                                                                       , 9503.00, Japan, 3, 1416, 4248
SGC58931, Doll Collection Mei-Chan                                                                                                                                                                                                                                       , 9503.00, Japan, 3, 824, 2472
SGC58941, Doll Collection Jiji                                                                                                                                                                                                                                           , 9503.00, Japan, 3, 644, 1932
AMD14534, Puzzle Frame Walnut (for 108pcs)                                                                                                                                                                                                                               , 9503.00, Japan, 1, 878, 878
BAN30762, Nautilus                                                                                                                                                                                                                                                       , 9503.00, Japan, 1, 814, 814
BAN48289, 1/144 Gundam Epyon                                                                                                                                                                                                                                             , 9503.00, Japan, 2, 339, 678
BAN57919, 1/100 MG RX-78GP01                                                                                                                                                                                                                                             , 9503.00, Japan, 3, 1696, 5088
BAN906042, 1/100 MG God Gundam                                                                                                                                                                                                                                            , 9503.00, Japan, 2, 1697, 3394
BAN907723, 1/144 HGUC Dom Tropen Sand Brown                                                                                                                                                                                                                               , 9503.00, Japan, 1, 1086, 1086
BAN908842, 1/100 HY2M-MG Vol. 03                                                                                                                                                                                                                                          , 9503.00, Japan, 2, 630, 1260
BAN950681, 1/100 GD-40 MG MS-06J Zaku Ver. 2 D                                                                                                                                                                                                                            , 9503.00, Japan, 1, 271, 271
BAN958101, Mazinger Z                                                                                                                                                                                                                                                     , 9503.00, Japan, 3, 1357, 4071
BAN961401, 1/8 MG Figurerise Son Goku                                                                                                                                                                                                                                     , 9503.00, Japan, 2, 2375, 4750
BAN962054, 1/8 MG Figurerise Super Saiyan Son                                                                                                                                                                                                                             , 9503.00, Japan, 2, 2579, 5158
GNZGX1316, 1/1 Owl (Fukurou)                                                                                                                                                                                                                                              , 9503.00, Japan, 1, 814, 814
TKT39879, DMK-02 Bumblebee                                                                                                                                                                                                                                               , 9503.00, Japan, 1, 2668, 2668
TKT39880, DMK-01 Optimus Prime                                                                                                                                                                                                                                           , 9503.00, Japan, 2, 6178, 12356
MTR05285, One Piece Uno                                                                                                                                                                                                                                                  , 9504.40, China, 6, 842, 5052
GNZGM05, Gundam Marker #05                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM06, Gundam Marker #06                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM08, Gundam Marker #08                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM09, Gundam Marker #09                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM11, Gundam Marker #11                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM16, Gundam Marker #16                                                                                                                                                                                                                                              , 9608.20, Japan, 4, 136, 544
GNZGM17, Gundam Marker #17                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM18, Gundam Marker #18                                                                                                                                                                                                                                              , 9608.20, Japan, 1, 136, 136
GNZGM19, Gundam Marker #19                                                                                                                                                                                                                                              , 9608.20, Japan, 2, 136, 272
GNZGM400, GM400 Blurring Pen                                                                                                                                                                                                                                             , 9608.20, Japan, 2, 136, 272
GNZGMS105, Gundam Maker Basic Set (6pcs)                                                                                                                                                                                                                                  , 9608.20, Japan, 1, 814, 814
GNZGMS108, Gundam Maker Zeon Set                                                                                                                                                                                                                                          , 9608.20, Japan, 2, 814, 1628
GNZGMS109, Gundam Maker SEED Basic Set (6pcs)                                                                                                                                                                                                                             , 9608.20, Japan, 2, 814, 1628
GNZGMS114, Gundam S Destiny Marker Set 6pcs #1                                                                                                                                                                                                                            , 9608.20, Japan, 2, 814, 1628

Merchandise, Shipping, Miscellaneous, Tax, Total
864292, 86910, -72408, 0, 878794
