"title","description","image"
"Perfect Grade","Sono model kit prodotti a partire dal 1998 
In scala 1/60, sono la linea di model kit bandai più complessi e con la qualità più alta 
Hanno uno scheletro interno con alcuni componenti metallici che li rende estremamente posabili.
Spesso includono dei Led.
Sono consigliati solo ai modellisti che hanno già esperienza.","pg.jps"
"Hi Grade","Sono model kit prodotti a partire dal 1990In scala 1/144 o 1/100 , facili da assemblare non richiedono necessariamente l' uso di colla o colore per l' assemblaggio ","hg.jpg"
