,,"COSMIC GROUP - GUNPLA",,,
,,,,,
"SITUAZIONE AGGIORNATA AL 23/05/2011",,,,,
,,,,,
"CODICE COSMIC ","IMMAGINE","ARTICOLO","JAN CODE","DATA PRESUNTA DI ARRIVO","PREZZO SUGGERITO AL PUBBLICO"
,,,,,
"18506","Clicca qui"," HG RAPHAEL GUNDAM","0164565","GIUGNO 2011","€ 24,00"
"26607","Clicca qui"," HG GN ARMS + GUNDAM EXIA","0153122","GIUGNO 2011","€ 66,00"
"18283","Clicca qui"," HG CHERUDIM GUNDAM","0156656","GIUGNO 2011","€ 14,40"
"26214","Clicca qui"," HG SERAPHIM GUNDAM","0157733","GIUGNO 2011","€ 12,00"
"25890","Clicca qui"," HG MASURAO","0161407","GIUGNO 2011","€ 18,00"
"25837","Clicca qui"," HG ASTRAEA TYPE F","0162363","GIUGNO 2011","€ 21,60"
"15919","Clicca qui"," HG 1.5GUNDAM","0163277","GIUGNO 2011","€ 21,60"
"25665","Clicca qui"," HG GUNDAM ASTRAEA","0164249","GIUGNO 2011","€ 19,20"
"25645","Clicca qui"," HG OO RAISER GN CONDENSER TYPE","0165300","GIUGNO 2011","€ 24,00"
"17519","Clicca qui"," 1/100 OO GUNDAM","0156906","GIUGNO 2011","€ 33,60"
"17135","Clicca qui"," 1/100 SERAVEE GUNDAM","0158433","GIUGNO 2011","€ 43,20"
"15853","Clicca qui"," HG 1/144 FOREVER GUNDAM","0166792","GIUGNO 2011","€ 24,00"
"25604","Clicca qui"," 1/144 HGUC GUNCANNON","0072918","GIUGNO 2011","€ 9,60"
"25531","Clicca qui"," 1/144 HGUC QUBELEY","0073326","GIUGNO 2011","€ 18,00"
"19714","Clicca qui"," 1/144 HGUC GUNTANK","0075486","GIUGNO 2011","€ 9,60"
"17093","Clicca qui"," 1/144 HGUC GOUF","0075894","GIUGNO 2011","€ 9,60"
"25386","Clicca qui"," 1/144 HGUC MSM-07S Z'GOCK(CHAR'S CUSTOM)","0100568","GIUGNO 2011","€ 8,40"
"25298","Clicca qui"," 1/144 HGUC RGM-79 GM","0101787","GIUGNO 2011","€ 8,40"
